Acido:; Incluye solo Stock;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha:; 26/2/2023;;;;;;;;;;;;;;;;;;;;;;;;;;
Region:; Cordoba;;;;;;;;;;;;;;;;;;;;;;;;;;
Region;Cadena;Local;Seccion;Familia;Item;Descripcion;Codigo Interno;% NS;% NS1;% NS2;Stock;Pend Entrega;Dias Stock;Dias Obj;Cob Obj Un;Vta Prom DiariaNeta;Pco Uni;Promo;UxB;Fecha Ult Vta;Dias Sin Vta con Stk;Forma Entrega;Vigencia;Rol Local;Costo;Carga Gondola;CD Abastece
Cordoba;Disco;60 - Córdoba Shopping.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;0;14;11;0;9;64;75;1,17;109,98;;25;26/2/2023;0;AL;V;SI;66,17;0;9779
Cordoba;Vea;690 - Rio Tercero II.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;260;0;0;26;0;47;18;10;0,55;0;;25;9/2/2023;17;AL;V;SI;66,17;0;9779
Cordoba;Disco;709 - Recta Martinolli ll;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;337;0;0;27;0;39;12;8;0,69;109,98;;25;26/2/2023;0;AL;V;SI;66,17;0;9779
Cordoba;Disco;725 - Alta Gracia.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;210;0;0;21;0;42;20;10;0,5;109,98;;25;26/2/2023;0;AL;V;SI;66,17;0;9779
Cordoba;Disco;779 - Centro Distribución Córd;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;45000;0;0;1350;0;9999;50;3;0;0;;25;26/2/2023;0;  ;V;SI;66,17;0;0
Cordoba;Disco;842 - Cruz del Eje.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;180;0;0;18;0;37;21;10;0,48;109,98;;25;26/2/2023;0;AL;V;SI;66,17;0;9779
Cordoba;Disco;843 - Rio Ceballos.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;260;0;0;26;0;70;26;10;0,37;0;;25;21/1/2023;36;AL;V;SI;66,17;0;9779
Cordoba;Disco;954 - Alta Gracia II;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;20;0;2;0;7;36;10;0,27;0;;25;4/2/2023;22;AL;V;SI;66,17;0;9779
Cordoba;Vea;113 - Río Cuarto.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;106;0;0;80;0;160;150;75;0,5;0;;25;25/2/2023;1;AL;V;SI;119,76;0;9779
Cordoba;Vea;114 - Juan B. Justo.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;186;0;0;28;0;9999;15;15;0;194,64;;25;26/2/2023;0;AL;V;SI;119,76;0;9779
Cordoba;Vea;195 - Vea 29 - M.T. de Alvear ;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;113;0;0;17;0;9999;15;15;0;194,64;;25;26/2/2023;0;AL;V;SI;119,76;0;9779
Cordoba;Vea;232 - Villa María II.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;140;0;0;21;0;9999;15;15;0;0;;25;12/2/2023;14;AL;V;SI;119,76;0;9779
Cordoba;Disco;233 - Carlos Paz.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;192;0;0;25;0;22;12;13;1,09;196,55;;25;26/2/2023;0;AL;V;SI;119,76;0;9779
Cordoba;Disco;28 - Vélez Sarsfield.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;141;0;0;24;0;20;15;17;1,14;196,55;;25;26/2/2023;0;AL;V;SI;119,76;0;9779
Cordoba;Disco;29 - Cerro las Rosas.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;0;0;0;0;0;0;12;12;1;0;;25;27/1/2023;0;AL;V;SI;119,76;0;9779
Cordoba;Vea;32 - Buchardo.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;0;20;0;2;0;4;20;10;0,5;0;;25;24/2/2023;2;AL;V;SI;119,76;0;9779
Cordoba;Disco;33 - Alta Córdoba.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;135;0;0;27;0;59;44;20;0,45;196,55;;25;26/2/2023;0;AL;V;SI;119,76;0;9779
Cordoba;Vea;432 - San Vicente.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;110;0;0;11;0;14;13;10;0,75;194,64;;25;26/2/2023;0;AL;V;SI;119,76;0;9779
Cordoba;Vea;434 - Olmos I.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;186;0;0;28;0;9999;12;15;0;0;;25;22/12/2022;66;AL;V;SI;119,76;0;9779
Cordoba;Disco;435 - Los 33.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;362;0;0;29;0;67;18;8;0,43;0;;25;17/2/2023;9;AL;V;SI;119,76;0;9779
Cordoba;Disco;436 - Cerro II.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;300;0;0;45;0;937;312;15;0,05;196,55;;25;26/2/2023;0;AL;V;SI;119,76;0;9779
Cordoba;Vea;437 - Ruta 20.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;180;0;0;27;0;28;15;15;0,94;0;;25;23/2/2023;3;AL;V;SI;119,76;0;9779
Cordoba;Disco;439 - Colón.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;230;0;0;23;0;28;12;10;0,81;0;;25;23/2/2023;3;AL;V;SI;119,76;0;9779
Cordoba;Vea;440 - Chacabuco.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;110;0;0;11;0;9999;12;10;0;0;;25;18/11/2022;100;AL;V;SI;119,76;0;9779
Cordoba;Disco;441 - Estrada.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;0;30;0;3;0;3;12;10;0,86;0;;25;23/2/2023;3;AL;V;SI;119,76;0;9779
Cordoba;Disco;444 - Vélez I.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;170;0;0;17;0;59;34;10;0,29;0;;25;22/2/2023;4;AL;V;SI;119,76;0;9779
Cordoba;Disco;448 - Carcano.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;116;0;0;14;0;25;22;12;0,55;0;;25;18/2/2023;8;AL;V;SI;119,76;0;9779
Cordoba;Disco;449 - Acceso.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;125;0;0;25;0;30;24;20;0,82;196,55;;25;26/2/2023;0;AL;V;SI;119,76;0;9779
Cordoba;Disco;450 - Cosquín.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;140;0;0;14;0;34;24;10;0,41;196,55;;25;26/2/2023;0;AL;V;SI;119,76;0;9779
Cordoba;Jumbo;451 - Nuevo Centro.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;250;0;0;25;0;52;21;10;0,48;196,55;;25;26/2/2023;0;AL;V;SI;119,76;0;9779
