Acido:; Incluye solo Stock;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha:; 26/2/2023;;;;;;;;;;;;;;;;;;;;;;;;;;
Region:; Buenos Aires;;;;;;;;;;;;;;;;;;;;;;;;;;
Region;Cadena;Local;Seccion;Familia;Item;Descripcion;Codigo Interno;% NS;% NS1;% NS2;Stock;Pend Entrega;Dias Stock;Dias Obj;Cob Obj Un;Vta Prom DiariaNeta;Pco Uni;Promo;UxB;Fecha Ult Vta;Dias Sin Vta con Stk;Forma Entrega;Vigencia;Rol Local;Costo;Carga Gondola;CD Abastece
Buenos Aires;Disco;23 - Alto Palermo.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;131;0;0;46;25;70;53;35;0,66;0;;25;25/2/2023;1;XD;V;SI;71,03;35;9217
Buenos Aires;Disco;231 - Rawson y Alvear.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;183;0;0;11;25;55;30;6;0,2;0;;25;23/2/2023;3;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;234 - Caseros.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;0;0;0;25;0;9;6;0,66;0;;25;25/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;235 - La Horqueta.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;166;0;0;10;25;23;16;6;0,43;111,05;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;237 - Beiró.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;66;0;0;4;25;6;10;6;0,6;0;;25;24/2/2023;2;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;240 - Boedo.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;50;0;3;25;20;41;6;0,14;0;;25;15/2/2023;11;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;241 - Edison.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;51;0;0;22;50;13;26;43;1,69;106,78;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;247 - José María Moreno.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;450;0;0;27;0;33;7;6;0,8;111,05;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;248 - San Bernardo.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;50;0;3;50;1;2;6;2,63;0;;25;23/2/2023;3;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;25 - Rodríguez Peña.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;416;0;0;25;0;9999;24;6;0;0;;25;17/12/2022;54;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;3 - Camacua.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;316;0;0;19;0;39;12;6;0,49;0;;25;23/2/2023;3;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;30 - Rivadavia.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;333;0;0;10;0;38;11;3;0,26;0;;25;25/2/2023;1;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;35 - Uriburu.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;166;0;0;10;25;14;8;6;0,71;111,05;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;36 - La Plata II.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;433;0;0;26;0;19;4;6;1,34;0;;25;10/1/2023;47;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;37 - Adrogué.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;466;0;0;28;0;54;11;6;0,51;0;;25;24/2/2023;2;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;38 - Arcos.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;0;0;0;25;0;10;6;0,57;0;;25;17/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;39 - Peña.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;50;0;3;50;3;6;6;0,89;0;;25;18/2/2023;8;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;4 - Vicente López.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;1416;0;0;85;0;212;15;6;0,4;109,98;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;42 - La Plata I.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;550;0;0;33;0;578;105;6;0,06;0;;25;23/2/2023;3;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;430 - Funes;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;0;16;1;25;2;15;6;0,4;0;;25;22/2/2023;4;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;45 - Gesell Boulevard.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;33;0;2;25;2;8;6;0,71;0;;25;10/2/2023;16;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;46 - Esmeralda.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;100;0;0;6;0;105;105;6;0,06;0;;25;10/2/2023;16;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;48 - Gascón.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;266;0;0;16;0;80;30;6;0,2;109,98;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;49 - Pinamar.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;2133;0;0;128;0;78;3;6;1,63;111,05;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;50 - Gesell Central.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;0;16;1;25;1;8;6;0,71;0;;25;15/2/2023;11;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;5034 - Jumbo Quilmes II;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;250;0;0;15;0;47;19;6;0,31;109,98;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;51 - NECOCHEA;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;50;0;3;50;3;6;6;0,91;0;;25;25/2/2023;1;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;52 - SAN CLEMENTE;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;733;0;0;44;50;40;5;6;1,1;0;;25;25/2/2023;1;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;5201 - Jumbo Escalada;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;46;0;50;125;15;34;108;3,2;109,98;;25;26/2/2023;0;XD;V;SI;71,03;50;9217
Buenos Aires;Jumbo;5202 - Jumbo Martínez;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;82;0;0;71;125;19;24;86;3,6;111,05;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;5204 - Jumbo Lomas;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;88;0;0;47;50;29;34;53;1,57;0;;25;17/2/2023;9;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;5205 - Jumbo San Martín;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;60;0;0;63;100;20;34;105;3,11;109,98;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;5206 - Jumbo Palermo;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;47;0;42;100;17;37;88;2,34;0;;25;25/2/2023;1;XD;V;SI;71,03;90;9217
Buenos Aires;Jumbo;5207 - Jumbo Quilmes;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;66;0;0;49;75;22;34;74;2,2;109,98;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;5208 - Jumbo Morón;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;21;0;11;100;7;34;52;1,54;109,98;;25;26/2/2023;0;XD;V;SI;71,03;50;9217
Buenos Aires;Jumbo;5211 - Jumbo Pilar;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;129;0;0;171;125;44;34;132;3,89;111,05;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;5213 - Jumbo Madero Harbour;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;283;0;0;17;25;49;17;6;0,34;0;;25;25/2/2023;1;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;5214 - Jumbo Escobar;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;56;0;0;53;125;19;34;93;2,74;109,98;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;5218 - Jumbo Rosario;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;82;0;0;64;125;21;26;78;3;109,98;;25;26/2/2023;0;XD;V;SI;71,03;60;9217
Buenos Aires;Jumbo;5231 - Jumbo Almagro;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;189;0;0;91;0;138;73;48;0,66;0;;25;24/2/2023;2;XD;V;SI;71,03;84;9217
Buenos Aires;Jumbo;5259 - Jumbo Tronador;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;75;0;0;45;50;27;36;60;1,66;109,98;;25;26/2/2023;0;XD;V;SI;71,03;60;9217
