Acido:; Incluye solo Stock;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha:; 26/2/2023;;;;;;;;;;;;;;;;;;;;;;;;;;
Region:; Cuyo;;;;;;;;;;;;;;;;;;;;;;;;;;
Region;Cadena;Local;Seccion;Familia;Item;Descripcion;Codigo Interno;% NS;% NS1;% NS2;Stock;Pend Entrega;Dias Stock;Dias Obj;Cob Obj Un;Vta Prom DiariaNeta;Pco Uni;Promo;UxB;Fecha Ult Vta;Dias Sin Vta con Stk;Forma Entrega;Vigencia;Rol Local;Costo;Carga Gondola;CD Abastece
Cuyo;Vea;243 - Catamarca.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;887;0;0;71;0;63;7;8;1,12;111,05;;25;26/2/2023;0;XD;V;SI;71,03;0;268
Cuyo;Vea;398 - Vea 31.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;275;0;0;22;0;41;15;8;0,52;0;;25;25/2/2023;1;AL;V;SI;71,03;0;9221
Cuyo;Vea;399 - Vea 32.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;875;0;0;70;0;9;9;8;7,14;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
Cuyo;Vea;40 - Mitre..;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;112;0;0;9;25;6;6;8;1,33;0;;25;24/2/2023;2;XD;V;SI;71,03;0;268
Cuyo;Vea;400 - Vea 33.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;122;0;0;11;25;12;9;9;0,91;0;;25;23/2/2023;3;AL;V;SI;71,03;0;9221
Cuyo;Vea;401 - Vea 35.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;487;0;0;39;0;46;9;8;0,83;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
Cuyo;Vea;402 - Vea 34.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;437;0;0;35;0;20;4;8;1,71;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
Cuyo;Vea;408 - Vea 39.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;87;0;0;7;25;21;24;8;0,33;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
Cuyo;Vea;410 - Vea 41.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;237;0;0;19;0;18;7;8;1,05;0;;25;24/2/2023;2;AL;V;SI;71,03;0;9221
Cuyo;Vea;413 - Vea 44.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;462;0;0;37;0;15;3;8;2,41;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
